Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
----------------------------------------------------------------------
| 1   | (0, 0, 0, 0) | Initial state  | -                  |
| 2   | (0, 0, 0, 1) | (10, 8, 5, 0) | t(4,1)               |
| 3   | (0, 0, 1, 0) | (10, 0, 0, 5) | t(4,0)               |
| 4   | (0, 0, 1, 1) | (10, 0, 0, 0) | t(4,1)               |
| 5   | (0, 1, 0, 0) | (0, 1, 5, 5) | t(4,0)               |
| 6   | (0, 1, 0, 1) | (0, 1, 5, 1) | t(3,0)               |
| 7   | (0, 1, 1, 0) | (0, 1, 0, 5) | t(4,0)               |
| 8   | (0, 1, 1, 1) | (0, 1, 0, 0) | t(4,1)               |
| 9   | (1, 0, 0, 0) | (1, 0, 5, 0) | t(3,0)               |
| 10  | (1, 0, 0, 1) | (0, 0, 5, 0) | t(4,1)               |
| 11  | (1, 0, 1, 0) | (1, 0, 0, 5) | t(4,0)               |
| 12  | (1, 0, 1, 1) | (1, 0, 0, 0) | t(4,1)               |
| 13  | (1, 1, 0, 0) | (1, 1, 5, 5) | t(4,0)               |
| 14  | (1, 1, 0, 1) | (1, 1, 5, 1) | t(3,0)               |
| 15  | (1, 1, 1, 0) | (1, 1, 0, 0) | t(3,1)               |
| 16  | (1, 1, 1, 1) | (0, 0, 0, 0) | t(4,1)               |
| 17  | (1, 1, 1, 2) | (0, 0, 0, 1) | t(4,2)               |
| 18  | (1, 1, 2, 1) | (1, 1, 1, 0) | t(4,1)               |
| 19  | (1, 1, 2, 2) | (1, 1, 2, 1) | t(4,2)               |
| 20  | (1, 2, 1, 1) | (1, 2, 0, 1) | t(3,1)               |
| 21  | (1, 2, 1, 2) | (1, 2, 0, 1) | t(4,2)               |
| 22  | (1, 2, 2, 1) | (1, 2, 1, 1) | t(3,2)               |
| 23  | (1, 2, 2, 2) | (0, 2, 1, 2) | t(3,2)               |
| 24  | (2, 1, 1, 1) | (2, 1, 0, 0) | t(4,1)               |
| 25  | (2, 1, 1, 2) | (2, 1, 0, 1) | t(4,2)               |
| 26  | (2, 1, 2, 1) | (2, 1, 1, 0) | t(4,1)               |
| 27  | (2, 1, 2, 2) | (2, 1, 1, 1) | t(4,2)               |
| 28  | (2, 2, 1, 1) | (2, 2, 0, 1) | t(3,1)               |
| 29  | (2, 2, 1, 2) | (1, 2, 0, 2) | t(3,1)               |
| 30  | (2, 2, 2, 1) | (2, 2, 1, 1) | t(3,2)               |
| 31  | (2, 2, 2, 2) | (1, 1, 1, 1) | t(4,2)               |
| 32  | (2, 2, 2, 3) | (1, 1, 1, 2) | t(4,3)               |
| 33  | (2, 2, 3, 2) | (2, 2, 2, 1) | t(4,2)               |
| 34  | (2, 2, 3, 3) | (1, 2, 2, 2) | t(4,3)               |
| 35  | (2, 3, 2, 2) | (2, 3, 1, 1) | t(4,2)               |
| 36  | (2, 3, 2, 3) | (2, 3, 1, 3) | t(3,2)               |
| 37  | (2, 3, 3, 2) | (1, 3, 3, 2) | t(1,2)               |
| 38  | (2, 3, 3, 3) | (2, 3, 2, 2) | t(4,3)               |
| 39  | (3, 2, 2, 2) | (3, 2, 2, 1) | t(4,2)               |
| 40  | (3, 2, 2, 3) | (2, 2, 1, 2) | t(4,3)               |
| 41  | (3, 3, 2, 2) | (2, 3, 2, 1) | t(4,2)               |
| 42  | (3, 3, 2, 3) | (2, 2, 2, 2) | t(4,3)               |
| 43  | (3, 3, 2, 4) | (2, 2, 1, 3) | t(4,4)               |
| 44  | (3, 4, 2, 3) | (2, 4, 2, 2) | t(4,3)               |
| 45  | (3, 4, 2, 4) | (2, 3, 2, 4) | t(2,4)               |
| 46  | (4, 3, 2, 3) | (3, 3, 2, 2) | t(4,3)               |
| 47  | (4, 3, 2, 4) | (3, 2, 2, 4) | t(2,3)               |
| 48  | (4, 4, 2, 3) | (3, 4, 2, 3) | t(1,4)               |
| 49  | (4, 4, 2, 4) | (3, 3, 2, 3) | t(4,4)               |
| 50  | (4, 4, 2, 5) | (3, 4, 1, 4) | t(4,5)               |
| 51  | (4, 4, 3, 4) | (4, 3, 3, 3) | t(4,4)               |
| 52  | (4, 4, 3, 5) | (4, 3, 3, 4) | t(4,5)               |
| 53  | (4, 5, 2, 4) | (3, 5, 2, 3) | t(4,4)               |
| 54  | (4, 5, 2, 5) | (3, 5, 1, 5) | t(3,2)               |
| 55  | (4, 5, 3, 4) | (4, 4, 3, 4) | t(2,5)               |
| 56  | (4, 5, 3, 5) | (4, 4, 3, 4) | t(4,5)               |
| 57  | (5, 4, 2, 4) | (4, 3, 2, 3) | t(4,4)               |
| 58  | (5, 4, 2, 5) | (4, 4, 1, 4) | t(4,5)               |
| 59  | (5, 4, 3, 4) | (5, 4, 2, 3) | t(4,4)               |
| 60  | (5, 4, 3, 5) | (5, 4, 2, 5) | t(3,3)               |
| 61  | (5, 5, 2, 4) | (4, 4, 1, 3) | t(4,4)               |
| 62  | (5, 5, 2, 5) | (5, 5, 2, 4) | t(4,5)               |
| 63  | (5, 5, 3, 4) | (4, 4, 2, 3) | t(4,4)               |
| 64  | (5, 5, 3, 5) | (4, 4, 2, 4) | t(4,5)               |
| 65  | (5, 5, 3, 0) | (4, 5, 2, 5) | t(4,0)               |
| 66  | (5, 5, 4, 5) | (5, 4, 3, 4) | t(4,5)               |
| 67  | (5, 5, 4, 0) | (5, 4, 3, 5) | t(4,0)               |
| 68  | (5, 6, 3, 5) | (4, 5, 2, 4) | t(4,5)               |
| 69  | (5, 6, 3, 0) | (4, 5, 2, 0) | t(3,3)               |
| 70  | (5, 6, 4, 5) | (5, 5, 3, 4) | t(4,5)               |
| 71  | (5, 6, 4, 0) | (5, 5, 3, 5) | t(4,0)               |
| 72  | (5, 6, 4, 1) | (5, 5, 3, 0) | t(4,1)               |
| 73  | (5, 6, 5, 0) | (5, 5, 4, 5) | t(4,0)               |
| 74  | (5, 6, 5, 1) | (5, 5, 4, 0) | t(4,1)               |
| 75  | (5, 7, 4, 0) | (4, 6, 3, 0) | t(3,4)               |
| 76  | (5, 7, 4, 1) | (4, 6, 4, 0) | t(4,1)               |
| 77  | (5, 7, 5, 0) | (4, 6, 5, 5) | t(4,0)               |
| 78  | (5, 7, 5, 1) | (4, 6, 5, 0) | t(4,1)               |
| 79  | (6, 6, 4, 0) | (6, 6, 3, 0) | t(3,4)               |
| 80  | (6, 6, 4, 1) | (5, 6, 3, 0) | t(4,1)               |
| 81  | (6, 6, 5, 0) | (6, 6, 4, 0) | t(3,5)               |
| 82  | (6, 6, 5, 1) | (6, 6, 4, 0) | t(4,1)               |
| 83  | (6, 7, 4, 0) | (5, 6, 3, 5) | t(4,0)               |
| 84  | (6, 7, 4, 1) | (5, 6, 3, 1) | t(3,4)               |
| 85  | (6, 7, 5, 0) | (5, 6, 4, 5) | t(4,0)               |
| 86  | (6, 7, 5, 1) | (5, 6, 4, 0) | t(4,1)               |
| 87  | (6, 7, 5, 2) | (5, 6, 4, 1) | t(4,2)               |
| 88  | (6, 7, 0, 1) | (5, 6, 5, 0) | t(4,1)               |
| 89  | (6, 7, 0, 2) | (5, 6, 5, 2) | t(3,0)               |
| 90  | (6, 8, 5, 1) | (5, 7, 5, 1) | t(2,8)               |
